input,output
correct: گھر کی چھت بیٹھ کر رات کا منظر دیکھنا بہت اچھا لگتا ہے,گھر کی چھت پر بیٹھ کر رات کا منظر دیکھنا بہت اچھا لگتا ہے
correct: اس کمپنی کی مصنوعات کی کی کوالٹی بہت اچھی ہے,اس کمپنی کی مصنوعات کی کوالٹی بہت اچھی ہے
correct: میں نے صبح ناشتہ کیا اور توانائی مجھے بہت ملی,میں نے صبح ناشتہ کیا اور مجھے بہت توانائی ملی
correct: بچے باہر کھیل رہا ہے,بچہ باہر کھیل رہا ہے
correct: یہ ڈراما انسانی جذبات خوبصورتی دکھاتا ہے,یہ ڈراما انسانی جذبات کو خوبصورتی سے دکھاتا ہے
correct: بچے نے جوس پیا گرمی,بچے نے گرمی میں جوس پیا
correct: میں نے کتاب پڑھا اور سیکھ لیا,میں نے کتاب پڑھی اور سیکھ لیا
correct: روس اور یوکرین کے درمیان جنگ جاری ہیں,روس اور یوکرین کے درمیان جنگ جاری ہے
correct: اس نے آئس کریم کھائی خوشی,اس نے خوشی سے آئس کریم کھائی
correct: وادی کیلاش کی ثقافت بہت منفرد اور دلچسپ تھی تھی,وادی کیلاش کی ثقافت بہت منفرد اور دلچسپ تھی
correct: حزب اختلاف تنقید کی نے حکومتی پالیسی پر,حزب اختلاف نے حکومتی پالیسی پر تنقید کی
correct: ہم ہم نے کام مکمل کیا,ہم نے کام مکمل کیا
correct: یہ واشنگ مشین کپڑوں کو دھوتی ہے بہت اچھی طرح,یہ واشنگ مشین کپڑوں کو بہت اچھی طرح دھوتی ہے
correct: طلبہ کو لائبریری میں جا کر حوالہ جاتی کتب دیکھنے کا کہا گیا گیا,طلبہ کو لائبریری میں جا کر حوالہ جاتی کتب دیکھنے کا کہا گیا
correct: تھیٹر میں اداکاری تھی عمدہ,تھیٹر میں عمدہ اداکاری تھی
correct: ہم نے AI ماڈل ٹرین کیا تھا اور پھر ہم نے اس کو test بھی کیا تھا اچھی طرح,ہم نے AI ماڈل ٹرین کیا اور اسے اچھی طرح test کیا
correct: میونسپلٹی نے شہر میں آغاز کیا صفائی مہم کا,میونسپلٹی نے شہر میں صفائی مہم کا آغاز کیا
correct: مینیجر نے ٹیم کو کارکردگی بہتر بنانے کے لیے واضح اور تفصیلی ہدایات دیں آج,مینیجر نے ٹیم کو آج کارکردگی بہتر بنانے کے لیے واضح اور تفصیلی ہدایات دیں
correct: ادبی تقریب میں ملک بھر شریک ہوئے کے ادیب,ادبی تقریب میں ملک بھر کے ادیب شریک ہوئے
correct: ہم ہم نے رپورٹ مکمل کی ہے,ہم نے رپورٹ مکمل کی ہے
correct: ہم کے گزشتہ سہ ماہی نے نتائج کا تجزیہ کیا,ہم نے گزشتہ سہ ماہی کے نتائج کا تجزیہ کیا
correct: ہم نے کام کیا تھا کل رات,ہم نے کل رات کام کیا تھا
correct: صارفین نے نے نئے پراڈکٹ کی تعریف کی,صارفین نے نئے پراڈکٹ کی تعریف کی
correct: میرے پاس تصاویر میں بہت سی موبائل محفوظ ہیں,میرے پاس موبائل میں بہت سی تصاویر محفوظ ہیں
correct: ایڈمن آفس نے فیس جمع کرانے کی کی آخری تاریخ بڑھا دی,ایڈمن آفس نے فیس جمع کرانے کی آخری تاریخ بڑھا دی
correct: آج میں گیا آفس دیر سے ٹریفک کی وجہ سے,میں آج ٹریفک کی وجہ سے دیر سے آفس گیا
correct: مارکیٹنگ ٹیم نے نئی نئی مہم کا آغاز کر دیا,مارکیٹنگ ٹیم نے نئی مہم کا آغاز کر دیا
correct: بچے نے چاکلیٹ کھائی اور بہت خوشی ہوئی اسے,بچے نے چاکلیٹ کھائی اور اسے بہت خوشی ہوئی
correct: دفتر خارجہ نے ملکی سالمیت پر بیان جاری کیا کیا,دفتر خارجہ نے ملکی سالمیت پر بیان جاری کیا
correct: وہ کل بہت دیر سے گھر آئی تھا,وہ کل بہت دیر سے گھر آئی تھی
correct: مقامی لوگوں نے سیاحوں استقبال کیا کا گرمجوشی سے,مقامی لوگوں نے سیاحوں کا گرمجوشی سے استقبال کیا
correct: جیپ کی سواری نے سفر کو مزید دلچسپ بنا دیاا,جیپ کی سواری نے سفر کو مزید دلچسپ بنا دیا
correct: جھیل کے پانی کا رنگ نیلا نیلا اور صاف تھا,جھیل کے پانی کا رنگ نیلا اور صاف تھا
correct: نے گلوکار فوک دیہاتی انداز میں گانا گایا,فوک گلوکار نے دیہاتی انداز میں گانا گایا
correct: چھٹیاں نے ہم گزارنے کے لیے ناران کا انتخاب کیا,ہم نے چھٹیاں گزارنے کے لیے ناران کا انتخاب کیا
correct: بنایا تاریخ کھلاڑی نے اس جیت سے,کھلاڑی نے اس جیت سے تاریخ بنائی
correct: دفتر خارجہ نے ملکی سالمیت جاری کیا پر بیان,دفتر خارجہ نے ملکی سالمیت پر بیان جاری کیا
correct: سیاح پہاڑ کیمپ لگایا رات,سیاحوں نے پہاڑوں میں رات کا کیمپ لگایا
correct: میوزک فیسٹیول منایا گیا سالانہ,سالانہ میوزک فیسٹیول منایا گیا
correct: بچوں نے کھانا کھایا اور کھانا ختم کیا,بچوں نے کھانا کھایا
correct: جنریٹو اے آئی کورس بہت آسان ہیں اور دلچسپ ہے,جنریٹو اے آئی کورس بہت آسان اور دلچسپ ہے
correct: سیاح بس سے اترے اور تصاویر بنائیں بہت خوبصورت جگہ پر,سیاح بس سے اترے اور خوبصورت جگہ پر تصاویر بنائیں
correct: میں نے ریسرچ کی اور کی,میں نے ریسرچ کی
correct: ہم نے دیکھی تھی فلم نئی سینما میں رات کو,ہم نے رات کو سینما میں نئی فلم دیکھی تھی
correct: گلوکارہ نے اپنی اپنی سریلی اور نرم آواز سے محفل کو روشن کیا,گلوکارہ نے اپنی سریلی اور نرم آواز سے محفل کو روشن کیا
correct: میری ماں مجھے پیار کرتی ہیں,میری ماں مجھ سے پیار کرتی ہے
correct: وہ پڑھتا ہے اور مطالعہ کرتا ہے,وہ پڑھتا ہے
correct: ہم نے کھانا کھایا شام,ہم نے شام کو کھانا کھایا
correct: سیاح جھیل کنارے بیٹھ کر چائے پی,سیاح جھیل کے کنارے بیٹھ کر چائے پی رہے تھے
correct: استاد نے ہمیں پراجیکٹ کی ہدایات دیے,استاد نے ہمیں پراجیکٹ کی ہدایات دیں
correct: میری بہن ڈاکٹر ہے طبیب ہے,میری بہن ڈاکٹر ہے
correct: ہم نے کلائنٹ کی ضروریات کے تیار کیا مطابق پروپوزل,ہم نے کلائنٹ کی ضروریات کے مطابق پروپوزل تیار کیا
correct: ہم نے محکمہ کو دی ہیں تمام دستاویزات فراہم کر,ہم نے محکمہ کو تمام دستاویزات فراہم کر دی ہیں
correct: وزارت تعلیم نے نئے نصاب کی کی منظوری دے دی,وزارت تعلیم نے نئے نصاب کی منظوری دے دی
correct: میں نے FAST یونیورسٹی میں بہت محنت کیا,میں نے FAST یونیورسٹی میں بہت محنت کی
correct: وہ آج گهر پر نہیں ہے,وہ آج گھر پر نہیں ہے
correct: ابو نے پیسے دیے اور رقم دی,ابو نے پیسے دیے
correct: رپورٹ مینیجر کو بھیج دی ہم نے,ہم نے رپورٹ مینیجر کو بھیج دی ہے
correct: پنجاب اندر سیلاب بہت زیادہ آیا ہوا ہے,پنجاب میں شدید سیلاب آیا ہے
correct: رات کو بجلی جانے کی وجہ وجہ سے پنکھا بند ہو گیا,رات کو بجلی جانے کی وجہ سے پنکھا بند ہو گیا
correct: آج موسم بہت صاف اور سہانا ھے,آج موسم بہت صاف اور سہانا ہے
correct: میں نے پڑھی تھی ایک دلچسپ کتاب اردو ادب پر,میں نے اردو ادب پر ایک دلچسپ کتاب پڑھی تھی
correct: میرا کھلونوں بھائی کمرے میں چھوٹا سے کھیل رہا ہے,میرا چھوٹا بھائی کمرے میں کھلونوں سے کھیل رہا ہے
correct: ابو نے چھت پر بیٹھنے چارپائی لیے کے ڈالی,ابو نے چھت پر بیٹھنے کے لیے چارپائی ڈالی
correct: میں اسکالرشپ کے لیے درخواست جمع کرا دی ہے,میں نے اسکالرشپ کے لیے درخواست جمع کرا دی ہے
correct: ہم نے ہم نے فائل اپ ڈیٹ کی,ہم نے فائل اپ ڈیٹ کی
correct: شاعر نے مشاعرے میں وصول کی خوب داد,شاعر نے مشاعرے میں خوب داد وصول کی
correct: لیبارٹری میں تجربہ بیکٹیریا کیا گیا,لیبارٹری میں بیکٹیریا کا تجربہ کیا گیا
correct: ہم نے آئس کریم کھائی اور بہت کھائی,ہم نے آئس کریم کھائی
correct: ان فنکاروں نے نمائش میں حصہ لیا ہے تھے,ان فنکاروں نے نمائش میں حصہ لیا تھا
correct: نئے اے سی کی بجلی کی کھپت بہت کم کم ہے,نئے اے سی کی بجلی کی کھپت بہت کم ہے
correct: کھلاری نے اچھا کھیلا میدان میں تیزی سے بھاگ کر,کھلاڑی نے میدان میں تیزی سے اچھا کھیلا
correct: گائیڈ نے ہمیں شہر کی تاریخ تفصیل سے بتائی قدیم,گائیڈ نے ہمیں قدیم شہر کی تاریخ تفصیل سے بتائی
correct: ادب کے بارے میں بات کی ادیب نے,ادیب نے ادب کے بارے میں بات کی
correct: دال چاول کھائے ہم نے اور بھوک ختم ہوئی بالکل,ہم نے دال چاول کھائے اور بھوک بالکل ختم ہو گئی
correct: بچہ کھیل رہی ہے,بچہ کھیل رہا ہے
correct: میں میں آپ کو مطلع کرنا چاہتا ہوں,میں آپ کو مطلع کرنا چاہتا ہوں
correct: وہ اپنے کپڑے دھوتی ہے خود,وہ اپنے کپڑے خود دھوتی ہے
correct: وہ گلوکار بہت خوبصورت گانا گاتی ہیں,وہ گلوکار بہت خوبصورت گانا گاتا ہے
correct: فوک گلوکار نے دیہاتی انداز میں میں گانا گایا,فوک گلوکار نے دیہاتی انداز میں گانا گایا
correct: میونسپل کارپوریشن نے شہر صفائی ستھرائی مہم شروع کی,میونسپل کارپوریشن نے شہر میں صفائی ستھرائی مہم شروع کی
correct: عدالت نے مقدمے کی اگلی کر دی تاریخ مقرر,عدالت نے مقدمے کی اگلی تاریخ مقرر کر دی
correct: گھر میں آج پانی پریشر بہت کم تھا,گھر میں آج پانی کا پریشر بہت کم تھا
correct: میٹنگ میں سب لوگ موجود تھی,میٹنگ میں سب لوگ موجود تھے
correct: میں نے چائے پی لی صبح صبح,میں نے صبح چائے پی
correct: صارفین نے نئے پراڈکٹ تعریف کی کی,صارفین نے نئے پراڈکٹ کی تعریف کی
correct: آج آسمان پر بادل چھاہے ہیں,آج آسمان پر بادل چھائے ہیں
correct: یہ پانی گرم ہیں,یہ پانی گرم ہے
correct: یہ سالن بہت مزیدار ہیں,یہ سالن بہت مزیدار ہے
correct: میں میں دفتر کل حاضر ہو کر رپورٹ جمع کرا دوں گا,میں کل دفتر میں حاضر ہو کر رپورٹ جمع کرا دوں گا
correct: لگیں دھنکیاں کھلاڑی کو غلطی پر,کھلاڑی کو غلطی پر دھنکیاں لگیں
